NAME10,UATYP10,AFFGEOID
"Decatur, IL",U,1400000US17115002602
"Decatur, IL",U,1400000US17115002500
"Decatur, IL",U,1400000US17115002402
"Decatur, IL",U,1400000US17115002300
"Decatur, IL",U,1400000US17115003100
"Decatur, IL",U,1400000US17115000300
"Decatur, IL",U,1400000US17115001300
"Decatur, IL",U,1400000US17115000200
"Decatur, IL",U,1400000US17115001200
"Decatur, IL",U,1400000US17115002401
"Decatur, IL",U,1400000US17115000900
"Decatur, IL",U,1400000US17115001900
"Decatur, IL",U,1400000US17115001000
"Decatur, IL",U,1400000US17115001801
"Decatur, IL",U,1400000US17115002000
"Decatur, IL",U,1400000US17115002100
"Decatur, IL",U,1400000US17115002902
"Decatur, IL",U,1400000US17115001802
"Decatur, IL",U,1400000US17115001700
"Decatur, IL",U,1400000US17115000400
"Decatur, IL",U,1400000US17115000600
"Decatur, IL",U,1400000US17115000500
"Decatur, IL",U,1400000US17115001400
"Decatur, IL",U,1400000US17115001600
"St. Louis, MO--IL",U,1400000US17119402803
"St. Louis, MO--IL",U,1400000US17163501900
"St. Louis, MO--IL",U,1400000US17163503304
"St. Louis, MO--IL",U,1400000US17163504303
"St. Louis, MO--IL",U,1400000US17163501700
"St. Louis, MO--IL",U,1400000US17163501603
"St. Louis, MO--IL",U,1400000US17163501604
"St. Louis, MO--IL",U,1400000US17163501605
"St. Louis, MO--IL",U,1400000US17163501502
"St. Louis, MO--IL",U,1400000US17163503332
"St. Louis, MO--IL",U,1400000US17163504355
"St. Louis, MO--IL",U,1400000US17163504351
"St. Louis, MO--IL",U,1400000US17163504352
"St. Louis, MO--IL",U,1400000US17163504353
"St. Louis, MO--IL",U,1400000US17163503905
"St. Louis, MO--IL",U,1400000US17133600101
"St. Louis, MO--IL",U,1400000US17163503903
"St. Louis, MO--IL",U,1400000US17119401904
"St. Louis, MO--IL",U,1400000US17119400952
"St. Louis, MO--IL",U,1400000US17119400101
"St. Louis, MO--IL",U,1400000US17119400904
"St. Louis, MO--IL",U,1400000US17119400801
"St. Louis, MO--IL",U,1400000US17119400802
"St. Louis, MO--IL",U,1400000US17119400951
"St. Louis, MO--IL",U,1400000US17119401903
"St. Louis, MO--IL",U,1400000US17119400700
"St. Louis, MO--IL",U,1400000US17119400600
"St. Louis, MO--IL",U,1400000US17119404000
"St. Louis, MO--IL",U,1400000US17119400102
"St. Louis, MO--IL",U,1400000US17119403401
"St. Louis, MO--IL",U,1400000US17119403402
"St. Louis, MO--IL",U,1400000US17119403300
"St. Louis, MO--IL",U,1400000US17119403121
"St. Louis, MO--IL",U,1400000US17119403200
"St. Louis, MO--IL",U,1400000US17119403533
"St. Louis, MO--IL",U,1400000US17119403001
"St. Louis, MO--IL",U,1400000US17119403122
"St. Louis, MO--IL",U,1400000US17119403002
"St. Louis, MO--IL",U,1400000US17119402900
"St. Louis, MO--IL",U,1400000US17163503324
"St. Louis, MO--IL",U,1400000US17163503334
"St. Louis, MO--IL",U,1400000US17163504354
"St. Louis, MO--IL",U,1400000US17163503414
"St. Louis, MO--IL",U,1400000US17163503413
"St. Louis, MO--IL",U,1400000US17163503402
"St. Louis, MO--IL",U,1400000US17163503411
"St. Louis, MO--IL",U,1400000US17163503412
"St. Louis, MO--IL",U,1400000US17163501501
"St. Louis, MO--IL",U,1400000US17163502500
"St. Louis, MO--IL",U,1400000US17163501400
"St. Louis, MO--IL",U,1400000US17163502900
"St. Louis, MO--IL",U,1400000US17163501200
"St. Louis, MO--IL",U,1400000US17163501800
"St. Louis, MO--IL",U,1400000US17163501602
"St. Louis, MO--IL",U,1400000US17163503301
"St. Louis, MO--IL",U,1400000US17163503323
"St. Louis, MO--IL",U,1400000US17163503322
"St. Louis, MO--IL",U,1400000US17163502800
"St. Louis, MO--IL",U,1400000US17163503211
"St. Louis, MO--IL",U,1400000US17163502700
"St. Louis, MO--IL",U,1400000US17163501300
"St. Louis, MO--IL",U,1400000US17163502401
"St. Louis, MO--IL",U,1400000US17163502200
"St. Louis, MO--IL",U,1400000US17163500500
"St. Louis, MO--IL",U,1400000US17163502300
"St. Louis, MO--IL",U,1400000US17163500900
"St. Louis, MO--IL",U,1400000US17163504500
"St. Louis, MO--IL",U,1400000US17163501100
"St. Louis, MO--IL",U,1400000US17163500400
"St. Louis, MO--IL",U,1400000US17163502603
"St. Louis, MO--IL",U,1400000US17163502602
"St. Louis, MO--IL",U,1400000US17163504600
"St. Louis, MO--IL",U,1400000US17133600102
"Alton, IL--MO",U,1400000US17083010300
"Alton, IL--MO",U,1400000US17119402701
"Alton, IL--MO",U,1400000US17119401722
"Alton, IL--MO",U,1400000US17119401721
"Alton, IL--MO",U,1400000US17119402801
"Alton, IL--MO",U,1400000US17119402100
"Alton, IL--MO",U,1400000US17119402500
"Alton, IL--MO",U,1400000US17119402000
"Alton, IL--MO",U,1400000US17119402600
"Alton, IL--MO",U,1400000US17119402400
"Alton, IL--MO",U,1400000US17119401500
"Alton, IL--MO",U,1400000US17119401400
"Alton, IL--MO",U,1400000US17119402200
"Alton, IL--MO",U,1400000US17119402300
"Alton, IL--MO",U,1400000US17119401200
"Alton, IL--MO",U,1400000US17119401800
"Alton, IL--MO",U,1400000US17119401100
"Alton, IL--MO",U,1400000US17119404100
"Alton, IL--MO",U,1400000US17119401300
"Tuscola, IL",C,1400000US17041952200
"Trenton, IL",C,1400000US17027900100
"Carthage, IL",C,1400000US17067953800
"Johnston City, IL",C,1400000US17199020700
"Johnston City, IL",C,1400000US17199020900
"Carbondale, IL",U,1400000US17199020500
"Carbondale, IL",U,1400000US17199020400
"Carbondale, IL",U,1400000US17199020201
"Carbondale, IL",U,1400000US17077011100
"Carbondale, IL",U,1400000US17077011400
"Carbondale, IL",U,1400000US17077011200
"Carbondale, IL",U,1400000US17199021100
"Carbondale, IL",U,1400000US17199021000
"Peru--LaSalle, IL",C,1400000US17099963400
"Peru--LaSalle, IL",C,1400000US17011965200
"Peru--LaSalle, IL",C,1400000US17099963000
"Peru--LaSalle, IL",C,1400000US17099962900
"Peru--LaSalle, IL",C,1400000US17011965000
"McLeansboro, IL",C,1400000US17065973100
"Kankakee, IL",U,1400000US17091011200
"Kankakee, IL",U,1400000US17091010500
"Kankakee, IL",U,1400000US17091011400
"Kankakee, IL",U,1400000US17091010701
"Kankakee, IL",U,1400000US17091010702
"Kankakee, IL",U,1400000US17091010601
"Kankakee, IL",U,1400000US17091010201
"Kankakee, IL",U,1400000US17091010202
"Kankakee, IL",U,1400000US17091010602
"Kankakee, IL",U,1400000US17091012000
"Kankakee, IL",U,1400000US17091012600
"Kankakee, IL",U,1400000US17091012200
"Kankakee, IL",U,1400000US17091012400
"Kankakee, IL",U,1400000US17091012300
"Kankakee, IL",U,1400000US17091011700
"Kankakee, IL",U,1400000US17091011500
"Kankakee, IL",U,1400000US17091011600
"Kankakee, IL",U,1400000US17091011800
"Kankakee, IL",U,1400000US17091011900
"Kankakee, IL",U,1400000US17091012100
"Davenport, IA--IL",U,1400000US17161023000
"Davenport, IA--IL",U,1400000US17161022100
"Davenport, IA--IL",U,1400000US17161022000
"Davenport, IA--IL",U,1400000US17161023200
"Davenport, IA--IL",U,1400000US17161023700
"Davenport, IA--IL",U,1400000US17161023100
"Davenport, IA--IL",U,1400000US17161024400
"Davenport, IA--IL",U,1400000US17161022900
"Davenport, IA--IL",U,1400000US17161023500
"Davenport, IA--IL",U,1400000US17161022800
"Davenport, IA--IL",U,1400000US17161023300
"Davenport, IA--IL",U,1400000US17161024500
"Davenport, IA--IL",U,1400000US17161022300
"Davenport, IA--IL",U,1400000US17161023600
"Davenport, IA--IL",U,1400000US17161022200
"Davenport, IA--IL",U,1400000US17073030203
"Davenport, IA--IL",U,1400000US17161020100
"Davenport, IA--IL",U,1400000US17161020200
"Davenport, IA--IL",U,1400000US17161020300
"Davenport, IA--IL",U,1400000US17161021000
"Davenport, IA--IL",U,1400000US17161020900
"Davenport, IA--IL",U,1400000US17161020800
"Davenport, IA--IL",U,1400000US17161020700
"Davenport, IA--IL",U,1400000US17161020600
"Davenport, IA--IL",U,1400000US17073030201
"Davenport, IA--IL",U,1400000US17161024200
"Davenport, IA--IL",U,1400000US17161024300
"Davenport, IA--IL",U,1400000US17161021100
"Davenport, IA--IL",U,1400000US17161021900
"Davenport, IA--IL",U,1400000US17161021800
"Davenport, IA--IL",U,1400000US17161021400
"Davenport, IA--IL",U,1400000US17161021300
"Davenport, IA--IL",U,1400000US17161021600
"Davenport, IA--IL",U,1400000US17161021200
"Davenport, IA--IL",U,1400000US17161021500
"Davenport, IA--IL",U,1400000US17161021700
"Mount Morris, IL",C,1400000US17141960900
"Robinson, IL",C,1400000US17033880400
"Bloomington--Normal, IL",U,1400000US17113005800
"Bloomington--Normal, IL",U,1400000US17113001103
"Bloomington--Normal, IL",U,1400000US17113005101
"Bloomington--Normal, IL",U,1400000US17113005400
"Bloomington--Normal, IL",U,1400000US17113000502
"Bloomington--Normal, IL",U,1400000US17113000501
"Bloomington--Normal, IL",U,1400000US17113000102
"Bloomington--Normal, IL",U,1400000US17113000505
"Bloomington--Normal, IL",U,1400000US17113000504
"Bloomington--Normal, IL",U,1400000US17113000104
"Bloomington--Normal, IL",U,1400000US17113002101
"Bloomington--Normal, IL",U,1400000US17113001800
"Bloomington--Normal, IL",U,1400000US17113001404
"Bloomington--Normal, IL",U,1400000US17113001403
"Bloomington--Normal, IL",U,1400000US17113001700
"Bloomington--Normal, IL",U,1400000US17113001500
"Bloomington--Normal, IL",U,1400000US17113001301
"Bloomington--Normal, IL",U,1400000US17113001105
"Bloomington--Normal, IL",U,1400000US17113001106
"Bloomington--Normal, IL",U,1400000US17113001200
"Bloomington--Normal, IL",U,1400000US17113005900
"Bloomington--Normal, IL",U,1400000US17113001303
"Bloomington--Normal, IL",U,1400000US17113000200
"Bloomington--Normal, IL",U,1400000US17113000400
"Bloomington--Normal, IL",U,1400000US17113001600
"Bloomington--Normal, IL",U,1400000US17113001302
"Bloomington--Normal, IL",U,1400000US17113000301
"Bloomington--Normal, IL",U,1400000US17113005201
"Bloomington--Normal, IL",U,1400000US17113005202
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861607
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861608
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861610
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861611
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861609
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861603
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861105
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861008
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861009
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861007
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861106
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097863601
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097864205
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097864105
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860806
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870704
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860904
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860905
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860903
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870603
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870605
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870809
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870606
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870810
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870702
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860811
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860809
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860810
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097860906
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861010
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861304
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861301
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861303
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861201
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861011
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861013
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861107
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861108
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861202
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861014
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861404
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17097861403
"Round Lake Beach--McHenry--Grayslake, IL--WI",U,1400000US17111870401
"Red Bud, IL",C,1400000US17157950800
"Arcola, IL",C,1400000US17041952400
"Chicago, IL--IN",U,1400000US17097861604
"Chicago, IL--IN",U,1400000US17097860302
"Chicago, IL--IN",U,1400000US17097861702
"Chicago, IL--IN",U,1400000US17097860500
"Chicago, IL--IN",U,1400000US17097860600
"Chicago, IL--IN",U,1400000US17097863202
"Chicago, IL--IN",U,1400000US17097863004
"Chicago, IL--IN",U,1400000US17097863005
"Chicago, IL--IN",U,1400000US17097863300
"Chicago, IL--IN",U,1400000US17097863003
"Chicago, IL--IN",U,1400000US17097863201
"Chicago, IL--IN",U,1400000US17097863006
"Chicago, IL--IN",U,1400000US17097862000
"Chicago, IL--IN",U,1400000US17097862502
"Chicago, IL--IN",U,1400000US17097862902
"Chicago, IL--IN",U,1400000US17097862700
"Chicago, IL--IN",U,1400000US17097863100
"Chicago, IL--IN",U,1400000US17097862401
"Chicago, IL--IN",U,1400000US17097862501
"Chicago, IL--IN",U,1400000US17097862402
"Chicago, IL--IN",U,1400000US17097862300
"Chicago, IL--IN",U,1400000US17097862200
"Chicago, IL--IN",U,1400000US17097862100
"Chicago, IL--IN",U,1400000US17097862901
"Chicago, IL--IN",U,1400000US17097861505
"Chicago, IL--IN",U,1400000US17097861509
"Chicago, IL--IN",U,1400000US17097861508
"Chicago, IL--IN",U,1400000US17097861506
"Chicago, IL--IN",U,1400000US17097861504
"Chicago, IL--IN",U,1400000US17097861507
"Chicago, IL--IN",U,1400000US17097861603
"Chicago, IL--IN",U,1400000US17097861902
"Chicago, IL--IN",U,1400000US17097861901
"Chicago, IL--IN",U,1400000US17097861804
"Chicago, IL--IN",U,1400000US17097866100
"Chicago, IL--IN",U,1400000US17097861803
"Chicago, IL--IN",U,1400000US17097860400
"Chicago, IL--IN",U,1400000US17097861510
"Chicago, IL--IN",U,1400000US17097862800
"Chicago, IL--IN",U,1400000US17097862605
"Chicago, IL--IN",U,1400000US17097862604
"Chicago, IL--IN",U,1400000US17097862603
"Chicago, IL--IN",U,1400000US17097864106
"Chicago, IL--IN",U,1400000US17097863601
"Chicago, IL--IN",U,1400000US17097863603
"Chicago, IL--IN",U,1400000US17097863903
"Chicago, IL--IN",U,1400000US17097863701
"Chicago, IL--IN",U,1400000US17097863702
"Chicago, IL--IN",U,1400000US17097863604
"Chicago, IL--IN",U,1400000US17097864001
"Chicago, IL--IN",U,1400000US17097864801
"Chicago, IL--IN",U,1400000US17097864601
"Chicago, IL--IN",U,1400000US17097863500
"Chicago, IL--IN",U,1400000US17097864602
"Chicago, IL--IN",U,1400000US17097864901
"Chicago, IL--IN",U,1400000US17097864700
"Chicago, IL--IN",U,1400000US17097863400
"Chicago, IL--IN",U,1400000US17097865300
"Chicago, IL--IN",U,1400000US17097865000
"Chicago, IL--IN",U,1400000US17031802504
"Chicago, IL--IN",U,1400000US17031802402
"Chicago, IL--IN",U,1400000US17097864505
"Chicago, IL--IN",U,1400000US17097864802
"Chicago, IL--IN",U,1400000US17031801606
"Chicago, IL--IN",U,1400000US17031801605
"Chicago, IL--IN",U,1400000US17031801601
"Chicago, IL--IN",U,1400000US17031802506
"Chicago, IL--IN",U,1400000US17097864903
"Chicago, IL--IN",U,1400000US17031802505
"Chicago, IL--IN",U,1400000US17097863801
"Chicago, IL--IN",U,1400000US17097864521
"Chicago, IL--IN",U,1400000US17097866200
"Chicago, IL--IN",U,1400000US17097864522
"Chicago, IL--IN",U,1400000US17031802404
"Chicago, IL--IN",U,1400000US17031802503
"Chicago, IL--IN",U,1400000US17031802403
"Chicago, IL--IN",U,1400000US17097864002
"Chicago, IL--IN",U,1400000US17097864511
"Chicago, IL--IN",U,1400000US17097864510
"Chicago, IL--IN",U,1400000US17097864512
"Chicago, IL--IN",U,1400000US17097863904
"Chicago, IL--IN",U,1400000US17097863902
"Chicago, IL--IN",U,1400000US17097864513
"Chicago, IL--IN",U,1400000US17097864514
"Chicago, IL--IN",U,1400000US17097864519
"Chicago, IL--IN",U,1400000US17097864516
"Chicago, IL--IN",U,1400000US17097864518
"Chicago, IL--IN",U,1400000US17097864515
"Chicago, IL--IN",U,1400000US17097864520
"Chicago, IL--IN",U,1400000US17097864517
"Chicago, IL--IN",U,1400000US17097864403
"Chicago, IL--IN",U,1400000US17031803017
"Chicago, IL--IN",U,1400000US17031803005
"Chicago, IL--IN",U,1400000US17031803012
"Chicago, IL--IN",U,1400000US17031803010
"Chicago, IL--IN",U,1400000US17031803016
"Chicago, IL--IN",U,1400000US17031803013
"Chicago, IL--IN",U,1400000US17031803008
"Chicago, IL--IN",U,1400000US17031803007
"Chicago, IL--IN",U,1400000US17031803701
"Chicago, IL--IN",U,1400000US17031803604
"Chicago, IL--IN",U,1400000US17031803605
"Chicago, IL--IN",U,1400000US17031803611
"Chicago, IL--IN",U,1400000US17031803606
"Chicago, IL--IN",U,1400000US17031803607
"Chicago, IL--IN",U,1400000US17031803612
"Chicago, IL--IN",U,1400000US17031803800
"Chicago, IL--IN",U,1400000US17097865600
"Chicago, IL--IN",U,1400000US17031800200
"Chicago, IL--IN",U,1400000US17031800100
"Chicago, IL--IN",U,1400000US17097864904
"Chicago, IL--IN",U,1400000US17031801701
"Chicago, IL--IN",U,1400000US17031801500
"Chicago, IL--IN",U,1400000US17031801702
"Chicago, IL--IN",U,1400000US17097865802
"Chicago, IL--IN",U,1400000US17097865801
"Chicago, IL--IN",U,1400000US17097865700
"Chicago, IL--IN",U,1400000US17031801800
"Chicago, IL--IN",U,1400000US17097865400
"Chicago, IL--IN",U,1400000US17097865501
"Chicago, IL--IN",U,1400000US17097865200
"Chicago, IL--IN",U,1400000US17097865502
"Chicago, IL--IN",U,1400000US17031805001
"Chicago, IL--IN",U,1400000US17031802608
"Chicago, IL--IN",U,1400000US17031803015
"Chicago, IL--IN",U,1400000US17031802801
"Chicago, IL--IN",U,1400000US17031802900
"Chicago, IL--IN",U,1400000US17031803400
"Chicago, IL--IN",U,1400000US17031802802
"Chicago, IL--IN",U,1400000US17031803014
"Chicago, IL--IN",U,1400000US17031803500
"Chicago, IL--IN",U,1400000US17031804000
"Chicago, IL--IN",U,1400000US17031803300
"Chicago, IL--IN",U,1400000US17031803100
"Chicago, IL--IN",U,1400000US17031803200
"Chicago, IL--IN",U,1400000US17031803901
"Chicago, IL--IN",U,1400000US17031803702
"Chicago, IL--IN",U,1400000US17031804109
"Chicago, IL--IN",U,1400000US17031803902
"Chicago, IL--IN",U,1400000US17031805106
"Chicago, IL--IN",U,1400000US17031802701
"Chicago, IL--IN",U,1400000US17031802610
"Chicago, IL--IN",U,1400000US17031802609
"Chicago, IL--IN",U,1400000US17031802605
"Chicago, IL--IN",U,1400000US17031802607
"Chicago, IL--IN",U,1400000US17031802702
"Chicago, IL--IN",U,1400000US17031805108
"Chicago, IL--IN",U,1400000US17031805107
"Chicago, IL--IN",U,1400000US17031805110
"Chicago, IL--IN",U,1400000US17031805105
"Chicago, IL--IN",U,1400000US17031805109
"Chicago, IL--IN",U,1400000US17031806300
"Chicago, IL--IN",U,1400000US17031806201
"Chicago, IL--IN",U,1400000US17031804902
"Chicago, IL--IN",U,1400000US17031806102
"Chicago, IL--IN",U,1400000US17031806103
"Chicago, IL--IN",U,1400000US17031804901
"Chicago, IL--IN",U,1400000US17031805002
"Chicago, IL--IN",U,1400000US17031806202
"Chicago, IL--IN",U,1400000US17031770202
"Chicago, IL--IN",U,1400000US17031770300
"Chicago, IL--IN",U,1400000US17031770400
"Chicago, IL--IN",U,1400000US17031804610
"Chicago, IL--IN",U,1400000US17031804609
"Chicago, IL--IN",U,1400000US17031770201
"Chicago, IL--IN",U,1400000US17043840705
"Chicago, IL--IN",U,1400000US17031805111
"Chicago, IL--IN",U,1400000US17031770500
"Chicago, IL--IN",U,1400000US17043840802
"Chicago, IL--IN",U,1400000US17043840703
"Chicago, IL--IN",U,1400000US17043840704
"Chicago, IL--IN",U,1400000US17043840801
"Chicago, IL--IN",U,1400000US17031980000
"Chicago, IL--IN",U,1400000US17031770601
"Chicago, IL--IN",U,1400000US17031805112
"Chicago, IL--IN",U,1400000US17043846603
"Chicago, IL--IN",U,1400000US17043840102
"Chicago, IL--IN",U,1400000US17043840104
"Chicago, IL--IN",U,1400000US17043846701
"Chicago, IL--IN",U,1400000US17043840103
"Chicago, IL--IN",U,1400000US17043840101
"Chicago, IL--IN",U,1400000US17043840906
"Chicago, IL--IN",U,1400000US17043840304
"Chicago, IL--IN",U,1400000US17043840202
"Chicago, IL--IN",U,1400000US17043846604
"Chicago, IL--IN",U,1400000US17043840201
"Chicago, IL--IN",U,1400000US17043840901
"Chicago, IL--IN",U,1400000US17031805902
"Chicago, IL--IN",U,1400000US17031805401
"Chicago, IL--IN",U,1400000US17031805901
"Chicago, IL--IN",U,1400000US17031770700
"Chicago, IL--IN",U,1400000US17031806600
"Chicago, IL--IN",U,1400000US17031770602
"Chicago, IL--IN",U,1400000US17031806501
"Chicago, IL--IN",U,1400000US17031806502
"Chicago, IL--IN",U,1400000US17031805801
"Chicago, IL--IN",U,1400000US17031806400
"Chicago, IL--IN",U,1400000US17031811702
"Chicago, IL--IN",U,1400000US17031811500
"Chicago, IL--IN",U,1400000US17031811701
"Chicago, IL--IN",U,1400000US17031770800
"Chicago, IL--IN",U,1400000US17031811600
"Chicago, IL--IN",U,1400000US17031802004
"Chicago, IL--IN",U,1400000US17031802002
"Chicago, IL--IN",U,1400000US17031802003
"Chicago, IL--IN",U,1400000US17031801901
"Chicago, IL--IN",U,1400000US17031802300
"Chicago, IL--IN",U,1400000US17031801607
"Chicago, IL--IN",U,1400000US17031801603
"Chicago, IL--IN",U,1400000US17031801608
"Chicago, IL--IN",U,1400000US17031800800
"Chicago, IL--IN",U,1400000US17031800500
"Chicago, IL--IN",U,1400000US17031800400
"Chicago, IL--IN",U,1400000US17031800600
"Chicago, IL--IN",U,1400000US17031800700
"Chicago, IL--IN",U,1400000US17031800300
"Chicago, IL--IN",U,1400000US17031810800
"Chicago, IL--IN",U,1400000US17031170600
"Chicago, IL--IN",U,1400000US17031810501
"Chicago, IL--IN",U,1400000US17031770901
"Chicago, IL--IN",U,1400000US17031811100
"Chicago, IL--IN",U,1400000US17031100500
"Chicago, IL--IN",U,1400000US17031760802
"Chicago, IL--IN",U,1400000US17031170500
"Chicago, IL--IN",U,1400000US17031770902
"Chicago, IL--IN",U,1400000US17031170700
"Chicago, IL--IN",U,1400000US17031760801
"Chicago, IL--IN",U,1400000US17031805702
"Chicago, IL--IN",U,1400000US17031810400
"Chicago, IL--IN",U,1400000US17031805701
"Chicago, IL--IN",U,1400000US17031805600
"Chicago, IL--IN",U,1400000US17031805802
"Chicago, IL--IN",U,1400000US17031805501
"Chicago, IL--IN",U,1400000US17031805502
"Chicago, IL--IN",U,1400000US17031805301
"Chicago, IL--IN",U,1400000US17031806003
"Chicago, IL--IN",U,1400000US17031806002
"Chicago, IL--IN",U,1400000US17031805302
"Chicago, IL--IN",U,1400000US17031806001
"Chicago, IL--IN",U,1400000US17031805201
"Chicago, IL--IN",U,1400000US17031806004
"Chicago, IL--IN",U,1400000US17031806104
"Chicago, IL--IN",U,1400000US17031804511
"Chicago, IL--IN",U,1400000US17031804804
"Chicago, IL--IN",U,1400000US17031804510
"Chicago, IL--IN",U,1400000US17031804509
"Chicago, IL--IN",U,1400000US17031804806
"Chicago, IL--IN",U,1400000US17031804807
"Chicago, IL--IN",U,1400000US17031804805
"Chicago, IL--IN",U,1400000US17097864402
"Chicago, IL--IN",U,1400000US17097864206
"Chicago, IL--IN",U,1400000US17097864108
